etf,close,ret_1d,ret_5d,ret_21d,ret_63d,ret_126d,ret_252d,vol_21,sharpe_63,rsi,adx,rs_positive,rs_mom_21,rs_mom_63,calmar_63,trend_sma,macd_bullish,above_sma200,drawdown,score,score_pct,ml_prob,_momentum,_trend,_risk,_alpha_quality
HEAL.L,9.6274995803833,-0.0084964425787392,0.0002596966632,-0.0213468916178056,0.1227405008197151,0.0360505843045058,0.270957072316716,0.1192823670930066,2.9783057867263087,53.70649015233474,23.055690436592045,1,-0.0242945234498653,0.0803098126736092,6.178077347545883,1,0,1,-0.024569433433387,0.790499,0.982,0.744,0.8012,0.702,0.9119,0.7105
CYBR.L,10.446999549865724,0.0131897663927982,0.000958060261031,-0.0254664841756342,0.3500904191224891,0.3709973368456585,0.1965410163518393,0.3469992424029919,3.358049957622075,48.78083631126869,20.95314284863745,1,-0.0284017080951715,0.2990677068385665,10.0,1,0,1,-0.0896654145466746,0.777559,0.679,0.882,0.7818,0.7369,0.9433,0.5592
CUKX.L,22255.0,-0.0011220825852782,0.0138952164009111,0.0204034846400733,0.0549893339653946,0.0858746035618442,0.2306458748064588,0.1006242541145833,1.8346701697330488,67.18232845740738,24.51660284063371,1,0.0173301037177546,0.0151191026926549,3.941349328213379,1,1,1,-0.0029121863799282,0.752792,0.982,0.655,0.7459,0.6764,0.8618,0.7145
VUKE.L,47.119998931884766,-0.001906379036925,0.0132243382355534,0.0215717925611873,0.0555611386248182,0.0790549740191148,0.223850360069201,0.1003374227739835,1.8860352664892144,67.33960282368417,23.73897385968669,1,0.0184948927805639,0.0156692976700847,3.763265817028973,1,1,1,-0.0028568856878422,0.747264,0.982,0.624,0.7337,0.6775,0.8565,0.7131
IAPD.L,2390.0,-0.0121926017772266,0.0090774751952713,0.0641139804096171,0.0273038133621148,0.0695943689136024,0.2538266956126362,0.1218769532835809,0.9038375066185832,62.06020973189804,25.14416559346309,0,0.0609089466599361,-0.0115201247645037,1.570112588623811,1,1,1,-0.0172697368421053,0.731615,0.964,0.596,0.5768,0.9283,0.7825,0.6802
SMEA.L,8988.0,-0.0045409236903311,0.0071716718960108,-0.0013333333333332,0.0601556970983723,0.078603144125765,0.2082269122193842,0.1107921957791784,2.036159198252808,56.73695147483151,16.732894390961775,1,-0.0043412445442319,0.0200902182659472,5.102703389091858,1,1,1,-0.0122121826897969,0.726551,0.968,0.659,0.7148,0.9188,0.5908,0.6598
IUFS.L,16.844999313354492,0.0106494540868815,0.0104978546046565,0.0274473219290292,0.089409845040024,0.0791159310595481,0.1244993209685867,0.1385525284791756,2.3405009286880567,60.56320087523751,28.41461721682602,1,0.0243527254821953,0.0482387913865376,6.981650800349875,1,0,1,-0.0094089888449542,0.723671,0.968,0.642,0.6273,0.7023,0.932,0.637
VEUR.L,42.92499923706055,-0.0039448190933315,0.0082207508596396,0.0,0.0582683138458259,0.0778541408019901,0.2010173584287011,0.1124915608677491,1.9619594399180276,57.28559322828138,15.09877602828982,1,-0.0030119271137167,0.0182741631343181,5.023705427532385,1,1,1,-0.0072849775480725,0.719292,0.964,0.623,0.6988,0.918,0.5902,0.6511
VERX.L,42.935001373291016,-0.0040593652188102,0.0085741527151379,-0.0059040810726089,0.0610239312084988,0.0761395426617317,0.1961679148233743,0.1237398507535169,1.9189022328762364,55.11992028707119,16.480604855198436,1,-0.0088982255244618,0.0209256400113841,5.526776464766275,1,1,1,-0.0148003770230237,0.70763,0.964,0.589,0.6703,0.917,0.6004,0.6246
BTEC.L,9.361249923706056,-0.0041223081273139,-0.0138267450355686,-0.0435504920715685,0.1042465309147411,0.0980938818293992,0.449390401462387,0.1498243500006124,2.08460814991308,45.76875402550613,15.167238721898697,1,-0.0464312482773994,0.062514768182877,6.391105074417194,1,0,1,-0.0598795387041866,0.70566,0.677,0.695,0.8125,0.6802,0.6057,0.6655
